name,pIC50,ALogP,ALogP_MR,ES_Count_aaaC,ES_Count_aaCH,ES_Count_aaN,ES_Count_aaO,ES_Count_aasC,ES_Count_ddsN,ES_Count_dO,ES_Count_dssC,ES_Count_sCH3,ES_Count_sNH2,ES_Count_sOH,ES_Count_ssCH2,ES_Count_ssNH,ES_Count_ssO,ES_Count_sssCH,ES_Count_sssN,ES_Count_tCH,ES_Count_tsC,ES_Sum_aaaC,ES_Sum_aasC,ES_Sum_dssC,ES_Sum_sCH3,ES_Sum_ssCH2,ES_Sum_sssCH,LogD,Molecular_Mass,Molecular_Solubility,HBA_Count,NPlusO_Count,Num_AtomClasses,Num_Chains,Num_H_Donors_Lipinski,Num_Hydrogens,Num_Rings4,Num_Rings5,Num_Rings6,Num_RotatableBonds,Molecular_FractionalPolarSASA,Molecular_FractionalPolarSurfaceArea,Molecular_PolarSASA,Molecular_PolarSurfaceArea,BIC,CHI_3_C,CHI_3_P,CHI_V_2,CHI_V_3_C,CHI_V_3_P,CIC,IAC_Mean,IAC_Total,IC,JX,Kappa_2,Kappa_3,SIC,Dipole_mag,Dipole_X,Dipole_Y,Dipole_Z,Jurs_DPSA_1,Jurs_DPSA_3,Jurs_FNSA_1,Jurs_FNSA_2,Jurs_FNSA_3,Jurs_FPSA_2,Jurs_FPSA_3,Jurs_PNSA_1,Jurs_PNSA_2,Jurs_PNSA_3,Jurs_PPSA_1,Jurs_PPSA_3,Jurs_RASA,Jurs_RNCG,Jurs_RNCS,Jurs_RPCG,Jurs_RPCS,Jurs_SASA,Jurs_TASA,Jurs_TPSA,Jurs_WNSA_1,Jurs_WNSA_2,Jurs_WNSA_3,Jurs_WPSA_1,Jurs_WPSA_3,Energy,Minimized_Energy,RadOfGyration,Strain_Energy,PMI_X,Shadow_nu,Shadow_Xlength,Shadow_XY,Shadow_XYfrac,Shadow_XZfrac,Shadow_Ylength,Shadow_YZ,Molecular_Volume
CHEMBL3730386,8.3,3.658,92.899,2,2,2,0,4,0,0,0,2,0,1,4,2,0,0,0,0,2,1.449,2.654,0,4.017,1.975,0,3.467,318.125,-5.278,2,5,22,4,3,19,0,0,2,7,0.201,0.207,110.779,70.07,0.66229,1.06903,7.1265,4.98483,0.47673,3.21405,1.19384,1.6329,66.949,3.26558,2.42819,9.33333,4.99671,0.73228,3.33872,-2.57905,2.12028,-0.00082,-361.583,60.525,0.80439,-1.43267,-0.08891,0.12942,0.013,477.758,-850.902,-52.8032,116.174,7.72182,0.81375,0.22196,12.3669,0.2167,2.14589,593.932,483.317,110.614,283.755,-505.378,-31.3615,68.9995,4.58623,139.95,3.54,3.51097,136.41,176.422,5.43944,19.0381,99.7125,0.49286,0.83796,10.6268,30.0764,264.1
CHEMBL3730400,6.66,5.085,104.721,4,7,3,0,5,0,0,0,3,0,0,1,1,1,0,0,0,0,3.439,3.584,0,5.405,0.743,0,5.085,366.125,-6.979,3,5,26,5,1,19,0,1,3,4,0.138,0.139,80.4463,51.97,0.69505,1.74356,10.1322,6.53405,0.8238,4.73605,1.01402,1.59964,71.9842,3.68641,1.88024,8.16326,3.8058,0.78427,7.12396,6.81934,2.0609,0.00014,-338.48,32.7568,0.80029,-1.36214,-0.04607,0.13349,0.01205,451.031,-767.673,-25.9616,112.551,6.79518,0.9272,0.20426,3.06402,0.19847,1.58191,563.582,522.555,41.0279,254.193,-432.647,-14.6315,63.4319,3.82964,72.01,18.36,3.45744,53.65,220.25,4.76865,16.6903,103.574,0.54887,0.83994,11.3062,32.0892,278.51
CHEMBL3730427,5.12,2.838,105.947,2,10,4,0,6,0,0,0,2,0,0,1,1,2,0,0,0,0,1.431,4.617,0,3.203,0.582,0,2.843,373.154,-5.685,6,7,26,4,1,19,0,0,4,6,0.166,0.211,100.703,82.05,0.59645,1.3402,10.3048,6.06744,0.55993,4.30605,1.58088,1.58524,74.5067,3.22647,1.75358,10.3469,5.2016,0.67115,5.60974,5.26653,-1.93205,-3.00E-05,105.486,49.5437,0.40844,-0.87725,-0.06079,0.51649,0.02521,235.308,-505.383,-35.0199,340.793,14.5237,0.80997,0.16132,3.07674,0.15231,1.21404,576.101,466.629,109.473,135.561,-291.152,-20.175,196.332,8.36715,58.73,-3.39,3.54034,62.12,318.72,4.68457,15.9289,108.07,0.56516,0.84166,12.0045,33.6069,281.94
CHEMBL3730455,7.18,3.235,87.321,2,4,4,0,5,0,0,0,3,0,0,1,1,1,0,0,0,0,1.392,3.225,0,5.188,0.727,0,3.235,317.104,-4.802,4,6,22,5,1,16,0,1,2,4,0.181,0.197,94.672,64.86,0.72824,1.49379,8.06206,5.23649,0.66229,3.5557,0.81818,1.716,65.2082,3.64124,2.13812,7.26643,3.59168,0.81652,3.47133,3.45869,-0.29603,2.00E-05,-47.7482,36.0383,0.54739,-0.89019,-0.05222,0.34115,0.01932,275.749,-448.431,-26.3036,228.001,9.7347,0.86863,0.21378,3.25267,0.17613,1.40389,503.75,437.574,66.1761,138.908,-225.897,-13.2505,114.855,4.90385,57.37,15.12,2.93999,42.25,160.36,4.12892,14.4512,88.7316,0.62,0.83105,9.90333,28.0375,238.72
CHEMBL3730512,6.44,3.109,74.459,2,2,2,0,4,0,0,0,2,0,1,2,2,0,0,0,0,0,1.254,1.648,0,3.978,1.502,0,2.555,266.093,-3.301,2,5,18,4,3,15,0,0,2,4,0.24,0.256,110.779,70.07,0.63876,1.13807,6.18373,4.18101,0.46911,2.72399,1.22222,1.72248,56.8421,2.9477,2.48794,6.43787,3.32179,0.70689,2.17558,1.99148,0.87588,-5.00E-05,-370.545,44.972,0.90973,-1.42542,-0.0895,0.05756,0.00995,411.363,-644.545,-40.4696,40.8179,4.50249,0.80374,0.22928,10.3179,0.22485,1.79219,452.181,363.436,88.745,186.011,-291.451,-18.2996,18.4571,2.03594,30.77,-2.75,2.50596,33.52,125.524,3.65042,12.7765,74.5868,0.57904,0.82291,10.0818,28.4443,202.71
CHEMBL3730580,5.8,4.143,104.043,2,5,2,0,7,0,1,1,2,0,0,1,1,2,0,0,0,0,1.3,4.033,-0.107,3.535,0.674,0,4.143,381.088,-5.947,5,6,27,5,1,16,0,0,4,4,0.171,0.2,99.0906,73.34,0.74649,1.74356,10.3806,6.3296,0.73684,4.51027,0.76869,1.70653,73.3811,3.98618,1.84361,8.78853,4.15999,0.83833,3.06734,-2.69567,-1.46354,0.0002,-173.783,53.4872,0.65195,-1.28387,-0.07387,0.36036,0.01967,372.8,-734.138,-42.2356,199.018,11.2517,0.81543,0.17656,2.79992,0.18352,1.32975,571.818,466.279,105.539,213.174,-419.793,-24.1511,113.802,6.4339,50.28,-2.44,3.94932,52.72,265.778,4.69331,16.4266,105.121,0.53654,0.84069,11.9271,33.9371,278.85
CHEMBL3730838,6.71,3.145,113.415,2,2,2,0,4,0,0,0,3,0,0,8,2,1,0,2,0,0,1.513,2.669,0,5.828,8.399,0,2.328,392.209,-3.947,3,7,25,5,2,29,0,0,3,8,0.111,0.153,71.5583,65.55,0.69613,1.56183,9.38565,7.25906,0.84521,5.11685,1.19868,1.57339,88.11,3.5562,1.58258,10.6838,5.99039,0.7479,13.533,11.2075,7.58505,-0.01254,-151.057,40.1887,0.6182,-1.32708,-0.04946,0.27858,0.01344,394.999,-847.921,-31.5979,243.941,8.59084,0.88513,0.16195,2.46412,0.19651,1.56628,638.94,565.546,73.3938,252.38,-541.771,-20.1892,155.864,5.48903,32.28,-3.31,4.03677,35.59,258.173,4.72844,20.3809,112.059,0.4393,0.72103,12.5156,38.338,320.36
CHEMBL3731002,7.8,3.468,127.086,2,2,2,0,4,0,0,0,2,0,1,10,2,0,0,2,0,2,1.474,2.723,0,4.215,8.73,0,1.549,430.225,-5.247,2,7,28,5,3,31,0,0,3,10,0.142,0.163,101.029,76.55,0.70919,1.56183,10.0398,7.87975,0.85845,5.40929,1.14548,1.55045,94.5776,3.7614,1.62875,12.8889,7.53577,0.76655,8.89545,6.63772,-5.92197,-0.00115,-245.297,64.8264,0.65821,-1.56175,-0.07179,0.24192,0.01183,510.252,-1210.67,-55.6514,264.954,9.17491,0.8353,0.16661,9.28305,0.20256,2.05485,775.206,647.532,127.674,395.55,-938.521,-43.1413,205.394,7.11245,161.37,51.43,4.85141,109.94,322.056,6.95724,26.7789,136.074,0.39703,0.77985,12.7982,38.139,391.7
CHEMBL3731055,6.22,2.578,96.52,2,2,4,1,6,0,0,0,2,0,1,4,2,0,0,0,0,0,1.343,3.143,0,3.994,1.709,0,2.565,362.126,-4.627,5,8,25,5,3,19,0,1,2,7,0.269,0.296,155.969,108.99,0.68494,1.40924,8.72782,5.69477,0.59128,3.78885,1.13058,1.7726,77.9946,3.51326,1.98516,9.27392,4.64639,0.75654,3.04782,2.40666,1.87008,0.00078,-335.412,63.3161,0.79462,-1.6945,-0.0945,0.21028,0.01673,452.311,-964.524,-53.7886,116.899,9.52745,0.79907,0.18564,10.0249,0.18604,1.52777,569.21,454.842,114.368,257.46,-549.017,-30.617,66.5399,5.42312,59.27,14.43,3.45387,44.84,207.093,5.23545,18.3241,100.719,0.49398,0.83695,11.127,31.681,272.68
CHEMBL3731151,5.33,2.94,74.097,2,2,2,0,4,0,0,0,3,0,0,1,1,2,0,0,0,0,1.507,2.688,0,5.201,0.783,0,2.94,311.027,-3.907,4,5,18,4,1,14,0,0,2,4,0.154,0.197,72.2514,56.27,0.64466,1.06903,6.33732,4.34039,0.52242,3.02411,1.19498,1.77883,56.9226,2.97493,2.49128,6.43787,3.13469,0.71342,1.99381,-1.06978,-1.68253,0.00016,-117.458,36.2041,0.63127,-0.95473,-0.05875,0.28309,0.02218,282.42,-427.127,-26.2799,164.962,9.92426,0.84475,0.22909,4.27113,0.18647,1.26107,447.383,377.927,69.4561,126.35,-191.089,-11.7572,73.8013,4.43994,29.58,-3.05,2.48108,32.63,142.069,3.18739,11.7933,75.2849,0.63932,0.80017,9.98507,29.3225,206.48
CHEMBL3731165,5.7,6.104,113.874,2,11,2,0,7,0,0,0,2,0,0,1,1,1,0,0,0,0,1.461,5.903,0,3.636,0.741,0,6.104,389.129,-8.009,3,4,26,5,1,20,0,0,4,5,0.107,0.12,66.2207,47.04,0.63541,1.47728,10.4013,6.74542,0.69116,4.84437,1.37016,1.51755,72.8428,3.43719,1.92183,9.87128,4.69444,0.71498,6.33174,4.49034,4.46405,0.00022,-358.321,39.1358,0.81199,-1.45647,-0.05639,0.1218,0.01176,466.283,-836.371,-32.3777,107.962,6.75811,0.94186,0.19382,2.82438,0.20481,1.78082,574.245,540.863,33.3816,267.761,-480.282,-18.5927,61.9968,3.88081,81.95,8.21,3.15896,73.74,392.123,4.14853,14.5199,111.631,0.54659,0.83257,14.0656,40.6779,297.72
