Morgan,PubChem,Daylight,RDKit-2D,CNN,GRU,LSTM,Transformer,MPNN
0.7908,0.7908,0.7843,0.7255,0.7582,0.7712,0.8105,0.4477,0.8039
0.7712,0.7647,0.7647,0.7451,0.7451,0.7124,0.7908,0.4281,0.7843
0.7582,0.7778,0.7386,0.732,0.7451,0.7582,0.732,0.5098,0.7451
0.7908,0.7712,0.7451,0.732,0.7843,0.7451,0.6993,0.5359,0.732
0.7908,0.7778,0.732,0.6863,0.7255,0.719,0.7908,0.5033,0.7451
0.8301,0.7516,0.7908,0.7451,0.7582,0.732,0.817,0.4575,0.7712
0.817,0.7582,0.7778,0.7059,0.7386,0.719,0.7124,0.4771,0.719
0.8039,0.7908,0.7582,0.7908,0.7582,0.7778,0.7451,0.3366,0.732
